"Mod name","Registry name","Item ID","Display name","Exists"
"Advanced Rocketry","advancedrocketry:advrocketmotor","advancedrocketry:advrocketmotor","Advanced Rocket Motor","true"
"Advanced Rocketry","advancedrocketry:airlock_door","advancedrocketry:airlock_door","Small Airlock Door","true"
"Advanced Rocketry","advancedrocketry:alienleaves","advancedrocketry:alienleaves","Lightwood Leaves","true"
"Advanced Rocketry","advancedrocketry:aliensapling","advancedrocketry:aliensapling","Lightwood Sapling","true"
"Advanced Rocketry","advancedrocketry:alienwood","advancedrocketry:alienwood","Lightwood","true"
"Advanced Rocketry","advancedrocketry:altitudecontroller","advancedrocketry:altitudecontroller","Altitude Controller","true"
"Advanced Rocketry","advancedrocketry:arcfurnace","advancedrocketry:arcfurnace","Electric Arc Furnace","true"
"Advanced Rocketry","advancedrocketry:atmospheredetector","advancedrocketry:atmospheredetector","Atmosphere Detector","true"
"Advanced Rocketry","advancedrocketry:basalt","advancedrocketry:basalt","Basalt","true"
"Advanced Rocketry","advancedrocketry:beacon","advancedrocketry:beacon","Beacon","true"
"Advanced Rocketry","advancedrocketry:biomescanner","advancedrocketry:biomescanner","Biome Scanner","true"
"Advanced Rocketry","advancedrocketry:bipropellantfueltank","advancedrocketry:bipropellantfueltank","block.advancedrocketry.bipropellantfueltank","true"
"Advanced Rocketry","advancedrocketry:bipropellantrocketmotor","advancedrocketry:bipropellantrocketmotor","block.advancedrocketry.bipropellantrocketmotor","true"
"Advanced Rocketry","advancedrocketry:blackholegenerator","advancedrocketry:blackholegenerator","Black Hole Generator","true"
"Advanced Rocketry","advancedrocketry:blastbrick","advancedrocketry:blastbrick","HeatProof Brick","true"
"Advanced Rocketry","advancedrocketry:blocklens","advancedrocketry:blocklens","Lens","true"
"Advanced Rocketry","advancedrocketry:blockpump","advancedrocketry:blockpump","Fluid Pump","true"
"Advanced Rocketry","advancedrocketry:blocktitaniumaluminide","advancedrocketry:blocktitaniumaluminide","Titanium Aluminide Block","true"
"Advanced Rocketry","advancedrocketry:blocktitaniumiridium","advancedrocketry:blocktitaniumiridium","Titanium Iridium Block","true"
"Advanced Rocketry","advancedrocketry:centrifuge","advancedrocketry:centrifuge","Centrifuge","true"
"Advanced Rocketry","advancedrocketry:charcoallog","advancedrocketry:charcoallog","Charcoal Log","true"
"Advanced Rocketry","advancedrocketry:chemicalreactor","advancedrocketry:chemicalreactor","Chemical Reactor","true"
"Advanced Rocketry","advancedrocketry:circlelight","advancedrocketry:circlelight","Station Light","true"
"Advanced Rocketry","advancedrocketry:compaccesshatch","advancedrocketry:compaccesshatch","Guidance Computer Access Hatch","true"
"Advanced Rocketry","advancedrocketry:concrete","advancedrocketry:concrete","Concrete","true"
"Advanced Rocketry","advancedrocketry:crystal","advancedrocketry:crystal","White Crystal Block","true"
"Advanced Rocketry","advancedrocketry:crystal_blue","advancedrocketry:crystal_blue","Blue Crystal Block","true"
"Advanced Rocketry","advancedrocketry:crystal_cyan","advancedrocketry:crystal_cyan","Cyan Crystal Block","true"
"Advanced Rocketry","advancedrocketry:crystal_green","advancedrocketry:crystal_green","Green Crystal Block","true"
"Advanced Rocketry","advancedrocketry:crystal_orange","advancedrocketry:crystal_orange","Orange Crystal Block","true"
"Advanced Rocketry","advancedrocketry:crystal_purple","advancedrocketry:crystal_purple","Violet Crystal Block","true"
"Advanced Rocketry","advancedrocketry:crystal_red","advancedrocketry:crystal_red","Red Crystal Block","true"
"Advanced Rocketry","advancedrocketry:crystal_yellow","advancedrocketry:crystal_yellow","Yellow Crystal Block","true"
"Advanced Rocketry","advancedrocketry:crystallizer","advancedrocketry:crystallizer","Crystallizer","true"
"Advanced Rocketry","advancedrocketry:cuttingmachine","advancedrocketry:cuttingmachine","Cutting Machine","true"
"Advanced Rocketry","advancedrocketry:databus","advancedrocketry:databus","Data Bus","true"
"Advanced Rocketry","advancedrocketry:deployablerocketbuilder","advancedrocketry:deployablerocketbuilder","Unmanned Vehicle Builder","true"
"Advanced Rocketry","advancedrocketry:drill","advancedrocketry:drill","Drill","true"
"Advanced Rocketry","advancedrocketry:electricmushroom","advancedrocketry:electricmushroom","Electric Mushroom","true"
"Advanced Rocketry","advancedrocketry:electrolyser","advancedrocketry:electrolyser","Electrolyser","true"
"Advanced Rocketry","advancedrocketry:enrichedlavablock","","Enriched Lava Block","true"
"Advanced Rocketry","advancedrocketry:floader","advancedrocketry:floader","Rocket Fluid Loader","true"
"Advanced Rocketry","advancedrocketry:forcefield","advancedrocketry:forcefield","Force Field","true"
"Advanced Rocketry","advancedrocketry:forcefieldprojector","advancedrocketry:forcefieldprojector","Force Field Projector","true"
"Advanced Rocketry","advancedrocketry:fuelingstation","advancedrocketry:fuelingstation","Fueling station","true"
"Advanced Rocketry","advancedrocketry:fueltank","advancedrocketry:fueltank","Liquid Fuel Tank","true"
"Advanced Rocketry","advancedrocketry:funloader","advancedrocketry:funloader","Rocket Fluid Unloader","true"
"Advanced Rocketry","advancedrocketry:geode","advancedrocketry:geode","Geode Block","true"
"Advanced Rocketry","advancedrocketry:gravitycontroller","advancedrocketry:gravitycontroller","Station Gravity Controller","true"
"Advanced Rocketry","advancedrocketry:gravitymachine","advancedrocketry:gravitymachine","Area Gravity Controller","true"
"Advanced Rocketry","advancedrocketry:guidancecomputer","advancedrocketry:guidancecomputer","Guidance Computer","true"
"Advanced Rocketry","advancedrocketry:hotturf","advancedrocketry:hotturf","Oxidized Ferric Sand","true"
"Advanced Rocketry","advancedrocketry:hydrogenfluidblock","","Hydrogen","true"
"Advanced Rocketry","advancedrocketry:intake","advancedrocketry:intake","Intake","true"
"Advanced Rocketry","advancedrocketry:landingfloat","advancedrocketry:landingfloat","Landing Float","true"
"Advanced Rocketry","advancedrocketry:landingpad","advancedrocketry:landingpad","Landing Pad","true"
"Advanced Rocketry","advancedrocketry:lathe","advancedrocketry:lathe","Lathe","true"
"Advanced Rocketry","advancedrocketry:launchpad","advancedrocketry:launchpad","Launch Pad","true"
"Advanced Rocketry","advancedrocketry:lightsource","advancedrocketry:lightsource","block.advancedrocketry.lightsource","true"
"Advanced Rocketry","advancedrocketry:liquidtank","advancedrocketry:liquidtank","Liquid Tank","true"
"Advanced Rocketry","advancedrocketry:microwavereciever","advancedrocketry:microwavereciever","Microwave Receiver","true"
"Advanced Rocketry","advancedrocketry:monitoringstation","advancedrocketry:monitoringstation","Rocket Monitoring Station","true"
"Advanced Rocketry","advancedrocketry:moonturf","advancedrocketry:moonturf","Moon Turf","true"
"Advanced Rocketry","advancedrocketry:moonturf_dark","advancedrocketry:moonturf_dark","block.advancedrocketry.moonturf_dark","true"
"Advanced Rocketry","advancedrocketry:nitrogenfluidblock","","Nitrogen","true"
"Advanced Rocketry","advancedrocketry:observatory","advancedrocketry:observatory","Observatory","true"
"Advanced Rocketry","advancedrocketry:orientationcontroller","advancedrocketry:orientationcontroller","Orientation Controller","true"
"Advanced Rocketry","advancedrocketry:oxygencharger","advancedrocketry:oxygencharger","Gas Charge Pad","true"
"Advanced Rocketry","advancedrocketry:oxygenfluidblock","","Oxygen","true"
"Advanced Rocketry","advancedrocketry:oxygenscrubber","advancedrocketry:oxygenscrubber","CO2 Scrubber","true"
"Advanced Rocketry","advancedrocketry:oxygenvent","advancedrocketry:oxygenvent","Oxygen Vent","true"
"Advanced Rocketry","advancedrocketry:pipesealer","advancedrocketry:pipesealer","Pipe Seal","true"
"Advanced Rocketry","advancedrocketry:planetanalyser","advancedrocketry:planetanalyser","Astrobody Data Processor","true"
